name,budget,seed,mode,hgs_cost,grader_cost,opt,n_routes,kmin,opt_routes,feasible,valid_perm,wall,gap_pct
XML100_1134_19,10.0,42,free,12041,12041,11938,7,7,7,1,1,10.021,0.8627910872843022
XML100_1134_19,10.0,43,free,12018,12018,11938,7,7,7,1,1,10.035,0.6701289998324678
XML100_1134_19,10.0,44,free,12054,12054,11938,7,7,7,1,1,10.028,0.9716870497570782
XML100_2145_02,2.0,42,free,10297,10297,10225,6,6,6,1,1,2.018,0.7041564792176039
XML100_2145_02,2.0,43,free,10293,10293,10225,6,6,6,1,1,2.023,0.6650366748166259
XML100_3323_12,30.0,42,free,17375,17375,17334,9,9,9,1,1,30.024,0.23652936425522095
XML100_2145_02,2.0,44,free,10267,10267,10225,6,6,6,1,1,2.019,0.41075794621026895
XML100_3323_12,30.0,43,free,17349,17349,17334,9,9,9,1,1,30.035,0.08653513326410522
XML100_2145_02,5.0,42,free,10225,10225,10225,6,6,6,1,1,5.018,0.0
XML100_2145_02,5.0,43,free,10261,10261,10225,6,6,6,1,1,5.019,0.35207823960880197
XML100_3323_12,30.0,44,free,17353,17353,17334,9,9,9,1,1,30.027,0.10961116880119995
XML100_2145_02,5.0,44,free,10253,10253,10225,6,6,6,1,1,5.015,0.27383863080684595
XML100_2145_02,10.0,42,free,10225,10225,10225,6,6,6,1,1,10.025,0.0
XML100_2145_02,10.0,43,free,10261,10261,10225,6,6,6,1,1,10.017,0.35207823960880197
XML100_2145_02,10.0,44,free,10253,10253,10225,6,6,6,1,1,10.02,0.27383863080684595
XML100_3156_17,2.0,42,free,11091,11091,11091,4,4,4,1,1,2.028,0.0
XML100_1134_19,30.0,42,free,12012,12012,11938,7,7,7,1,1,30.017,0.6198693248450327
XML100_1134_19,30.0,43,free,12018,12018,11938,7,7,7,1,1,30.037,0.6701289998324678
XML100_3156_17,2.0,43,free,11094,11094,11091,4,4,4,1,1,2.032,0.027048958615093318
XML100_3156_17,2.0,44,free,11124,11124,11091,4,4,4,1,1,2.02,0.2975385447660265
XML100_3156_17,5.0,42,free,11091,11091,11091,4,4,4,1,1,5.015,0.0
XML100_3156_17,5.0,43,free,11094,11094,11091,4,4,4,1,1,5.049,0.027048958615093318
XML100_1134_19,30.0,44,free,12018,12018,11938,7,7,7,1,1,30.026,0.6701289998324678
XML100_3156_17,5.0,44,free,11111,11111,11091,4,4,4,1,1,5.021,0.1803263907672888
XML100_3156_17,10.0,42,free,11091,11091,11091,4,4,4,1,1,10.017,0.0
XML100_3156_17,10.0,43,free,11094,11094,11091,4,4,4,1,1,10.044,0.027048958615093318
XML100_3156_17,10.0,44,free,11091,11091,11091,4,4,4,1,1,10.021,0.0
XML100_1261_07,2.0,42,free,22063,22063,21667,23,23,23,1,1,2.03,1.8276641897816956
XML100_1261_07,2.0,43,free,22291,22291,21667,24,23,23,1,1,2.04,2.8799556929893386
XML100_2145_02,30.0,42,free,10225,10225,10225,6,6,6,1,1,30.03,0.0
XML100_2145_02,30.0,43,free,10261,10261,10225,6,6,6,1,1,30.019,0.35207823960880197
XML100_1261_07,2.0,44,free,22062,22062,21667,23,23,23,1,1,2.021,1.8230488761711359
XML100_1261_07,5.0,42,free,21916,21916,21667,23,23,23,1,1,5.032,1.1492130890293994
XML100_1261_07,5.0,43,free,21943,21943,21667,23,23,23,1,1,5.028,1.2738265565145153
XML100_1261_07,5.0,44,free,22047,22047,21667,23,23,23,1,1,5.021,1.7538191720127383
XML100_2145_02,30.0,44,free,10225,10225,10225,6,6,6,1,1,30.02,0.0
XML100_1261_07,10.0,42,free,21916,21916,21667,23,23,23,1,1,10.032,1.1492130890293994
